Size	Insertion Sort	Quick Sort	Bubble Sort	Selection Sort	Heap Sort
2^2	0.000000	0.000000	0.000000	0.000000	0.000000
2^3	0.000001	0.000001	0.000001	0.000000	0.000001
2^4	0.000002	0.000002	0.000003	0.000001	0.000002
2^5	0.000009	0.000005	0.000011	0.000004	0.000006
2^6	0.000033	0.000011	0.000041	0.000016	0.000014
2^7	0.000125	0.000024	0.000152	0.000059	0.000037
2^8	0.000494	0.000055	0.000598	0.000236	0.000069
2^9	0.001977	0.000118	0.002408	0.000911	0.000157
2^10	0.007794	0.000252	0.009695	0.003633	0.000355
2^11	0.031834	0.000546	0.040041	0.014743	0.000762
2^12	0.125747	0.001143	0.162847	0.058209	0.001611
2^13	0.502219	0.002390	0.651319	0.233024	0.003509
2^14	2.025691	0.005241	2.613334	0.935047	0.007446
2^15	8.150586	0.012158	10.382171	3.743428	0.016072
2^16	32.632505	0.031937	41.502993	15.011755	0.034401
2^17	130.501871	0.087736	165.784116	59.915401	0.073921
2^18	527.806540	0.280085	675.160162	240.212944	0.157943

