Size	(Random Case)	(Worst Case)	(Random Case)	(Worst Case)
2^2	0.000000	0.000000	0.000001	0.000000
2^3	0.000001	0.000001	0.000002	0.000001
2^4	0.000002	0.000002	0.000005	0.000004
2^5	0.000005	0.000006	0.000012	0.000014
2^6	0.000011	0.000017	0.000032	0.000034
2^7	0.000024	0.000046	0.000082	0.000077
2^8	0.000055	0.000136	0.000215	0.000191
2^9	0.000120	0.000357	0.000492	0.000498
2^10	0.000252	0.001013	0.001094	0.001137
2^11	0.000550	0.002839	0.002375	0.002665
2^12	0.001186	0.007981	0.004911	0.005739
2^13	0.002393	0.022562	0.010264	0.013899
2^14	0.005257	0.066005	0.020147	0.032047
2^15	0.012406	0.181289	0.038899	0.068794
2^16	0.031404	0.512883	0.079217	0.150553
2^17	0.087945	1.455571	0.160342	0.327474
2^18	0.286650	4.115413	0.309599	0.730861

